iter	Passed	Remaining
0	2	2983
1	4	2190
2	7	2359
3	8	2194
4	10	2082
5	12	2057
6	13	1973
7	15	1918
8	17	1873
9	18	1855
10	20	1857
11	22	1840
12	23	1815
13	25	1800
14	27	1788
15	29	1798
16	31	1803
17	33	1819
18	34	1799
19	36	1800
20	38	1799
21	40	1781
22	41	1772
23	43	1758
24	45	1774
25	47	1782
26	49	1769
27	50	1764
28	52	1767
29	54	1760
30	56	1757
31	57	1747
32	59	1740
33	61	1738
34	62	1730
35	64	1735
36	66	1731
37	68	1723
38	69	1717
39	71	1711
40	72	1705
41	74	1701
42	76	1697
43	78	1697
44	80	1701
45	81	1694
46	83	1686
47	84	1681
48	86	1677
49	88	1678
50	90	1675
51	91	1672
52	93	1670
53	95	1665
54	97	1669
55	98	1665
56	100	1661
57	102	1658
58	103	1654
59	105	1649
60	107	1647
61	108	1642
62	110	1639
63	111	1636
64	113	1631
65	115	1627
66	116	1626
67	118	1621
68	119	1618
69	121	1613
70	123	1611
71	124	1608
72	126	1605
73	127	1600
74	129	1596
75	131	1593
76	132	1590
77	134	1585
78	135	1581
79	137	1577
80	138	1573
81	140	1570
82	142	1569
83	143	1566
84	145	1562
85	146	1560
86	148	1557
87	150	1554
88	151	1552
89	153	1549
90	155	1548
91	156	1545
92	158	1543
93	159	1540
94	161	1538
95	162	1534
96	164	1532
97	166	1531
98	168	1533
99	170	1530
100	171	1527
101	173	1526
102	174	1523
103	176	1521
104	178	1517
105	179	1513
106	181	1512
107	182	1509
108	184	1507
109	186	1507
110	189	1514
111	190	1512
112	192	1510
113	194	1510
114	195	1507
115	197	1507
116	199	1504
117	200	1501
118	202	1499
119	204	1497
120	206	1498
121	208	1499
122	210	1499
123	211	1497
124	213	1495
125	215	1493
126	216	1489
127	218	1487
128	219	1484
129	221	1481
130	222	1478
131	224	1476
132	226	1474
133	227	1472
134	229	1472
135	231	1470
136	232	1466
137	234	1464
138	236	1464
139	238	1465
140	240	1463
141	241	1460
142	243	1458
143	244	1455
144	246	1455
145	248	1456
146	250	1454
147	252	1451
148	254	1451
149	255	1450
150	257	1447
151	259	1447
152	261	1447
153	263	1446
154	264	1443
155	266	1442
156	268	1440
157	270	1439
158	271	1437
159	273	1435
160	274	1432
161	276	1429
162	278	1428
163	280	1429
164	282	1428
165	284	1428
166	285	1426
167	287	1425
168	289	1422
169	290	1420
170	292	1417
171	293	1414
172	295	1414
173	297	1413
174	299	1411
175	302	1416
176	306	1423
177	308	1425
178	312	1433
179	320	1458
180	323	1461
181	325	1463
182	328	1467
183	330	1465
184	332	1466
185	335	1467
186	336	1464
187	338	1462
188	340	1459
189	341	1456
190	343	1453
191	345	1451
192	346	1449
193	348	1447
194	349	1444
195	351	1441
196	353	1440
197	355	1438
198	356	1435
199	358	1432
200	359	1429
201	361	1427
202	363	1425
203	364	1422
204	366	1420
205	367	1417
206	369	1415
207	371	1412
208	372	1410
209	374	1408
210	376	1406
211	377	1403
212	379	1401
213	380	1398
214	382	1396
215	383	1393
216	385	1391
217	387	1389
218	388	1386
219	390	1384
220	391	1381
221	393	1378
222	395	1376
223	396	1374
224	398	1372
225	399	1369
226	401	1368
227	403	1366
228	404	1363
229	406	1360
230	408	1358
231	409	1356
232	411	1353
233	412	1351
234	414	1349
235	416	1346
236	417	1345
237	419	1342
238	421	1341
239	422	1339
240	425	1338
241	426	1336
242	428	1333
243	429	1331
244	431	1328
245	433	1327
246	434	1325
247	436	1323
248	438	1321
249	439	1319
250	441	1317
251	443	1315
252	444	1313
253	446	1311
254	448	1309
255	449	1306
256	451	1304
257	452	1302
258	454	1300
259	456	1298
260	457	1296
261	459	1294
262	460	1291
263	462	1289
264	464	1287
265	465	1285
266	467	1283
267	469	1281
268	470	1279
269	472	1277
270	474	1276
271	476	1274
272	477	1271
273	479	1269
274	481	1269
275	483	1267
276	485	1266
277	486	1263
278	488	1261
279	489	1259
280	491	1257
281	493	1255
282	494	1253
283	496	1251
284	497	1248
285	499	1246
286	500	1244
287	502	1242
288	504	1240
289	505	1238
290	507	1236
291	508	1233
292	510	1231
293	511	1229
294	513	1227
295	515	1225
296	516	1223
297	518	1220
298	519	1219
299	521	1216
300	523	1214
