iter	Passed	Remaining
0	60	60631
1	63	31776
2	66	21966
3	68	17130
4	71	14133
5	72	12076
6	74	10619
7	76	9476
8	78	8623
9	80	7923
10	81	7350
11	82	6805
12	84	6396
13	86	6072
14	87	5769
15	89	5526
16	91	5286
17	93	5074
18	95	4907
19	96	4730
20	98	4569
21	99	4422
22	101	4296
23	102	4179
24	104	4065
25	105	3962
26	107	3870
27	109	3785
28	110	3704
29	112	3631
30	113	3556
31	115	3486
32	116	3420
33	118	3359
34	119	3305
35	121	3263
36	123	3214
37	125	3164
38	126	3119
39	128	3075
40	129	3032
41	131	2997
42	132	2957
43	134	2919
44	135	2884
45	137	2851
46	139	2820
47	140	2792
48	142	2764
49	143	2733
50	145	2709
51	147	2685
52	149	2669
53	151	2647
54	152	2620
55	154	2596
56	155	2573
57	157	2550
58	158	2531
59	160	2513
60	162	2495
61	163	2475
62	165	2457
63	166	2439
64	168	2421
65	170	2406
66	171	2389
67	173	2376
68	175	2362
69	176	2350
70	178	2333
71	179	2318
72	181	2304
73	183	2290
74	184	2276
75	186	2270
76	188	2258
77	190	2246
78	191	2232
79	193	2221
80	194	2209
81	196	2198
82	198	2190
83	200	2191
84	202	2184
85	205	2183
86	207	2179
87	209	2175
88	212	2175
89	214	2171
90	217	2173
91	219	2169
92	222	2170
93	224	2166
94	227	2163
95	229	2164
96	232	2159
97	233	2153
98	236	2153
99	238	2146
100	240	2141
101	242	2134
102	244	2127
103	246	2125
104	248	2118
105	250	2112
106	252	2106
107	254	2099
108	256	2092
109	257	2086
110	260	2083
111	262	2077
112	264	2075
113	266	2074
114	269	2075
115	273	2082
116	276	2083
117	278	2082
118	281	2084
119	284	2085
120	287	2088
121	291	2097
122	293	2091
123	295	2085
124	297	2083
125	299	2078
126	301	2073
127	303	2068
128	305	2063
129	307	2059
130	309	2056
131	312	2051
132	313	2046
133	316	2042
134	318	2038
135	320	2034
136	322	2034
137	324	2028
138	326	2023
139	329	2024
140	331	2018
141	333	2014
142	335	2012
143	337	2008
144	339	2004
145	341	1998
146	343	1994
147	346	1992
148	348	1987
149	349	1982
150	352	1983
151	355	1981
152	357	1979
153	359	1977
154	361	1971
155	363	1967
156	365	1963
157	367	1958
158	369	1952
159	371	1947
160	372	1943
161	374	1938
162	377	1938
163	379	1936
164	381	1931
165	383	1929
166	385	1924
167	387	1921
168	390	1920
169	392	1916
170	394	1911
171	395	1904
172	398	1903
173	399	1898
174	401	1893
175	403	1889
176	405	1887
177	408	1885
178	410	1881
179	412	1880
180	414	1876
181	417	1875
182	420	1875
183	421	1870
184	423	1867
185	426	1866
186	428	1863
187	431	1862
188	433	1858
189	435	1855
190	437	1852
191	439	1849
192	441	1845
193	444	1845
194	446	1842
195	448	1839
196	450	1838
197	453	1835
198	455	1832
199	457	1829
200	459	1826
201	461	1821
202	463	1817
203	464	1813
204	466	1810
205	468	1806
206	470	1803
207	472	1800
208	475	1798
209	477	1795
210	479	1791
211	481	1789
212	483	1786
213	485	1784
214	487	1781
215	490	1779
216	492	1777
217	494	1773
218	496	1771
219	499	1771
220	502	1770
221	504	1767
222	506	1763
223	507	1759
224	509	1756
225	512	1754
226	514	1751
227	517	1750
228	519	1749
229	521	1745
230	523	1743
231	525	1740
232	527	1737
233	530	1737
234	534	1738
235	536	1738
236	539	1737
237	541	1733
238	543	1731
239	547	1732
240	549	1729
241	551	1727
242	553	1723
243	555	1720
244	556	1716
245	559	1713
246	561	1710
247	563	1708
248	565	1705
249	567	1703
250	570	1701
251	573	1701
252	575	1699
253	578	1697
254	580	1695
255	582	1694
256	585	1691
257	586	1688
258	589	1686
259	591	1682
260	593	1679
261	595	1677
262	598	1677
263	600	1674
264	602	1671
265	604	1669
266	606	1666
267	609	1663
268	611	1660
269	613	1658
270	615	1656
271	618	1655
272	621	1654
273	623	1652
274	625	1649
275	628	1647
276	631	1647
277	633	1646
278	637	1646
279	639	1644
280	642	1643
281	644	1642
282	648	1642
283	650	1640
284	653	1638
285	655	1637
286	658	1635
287	660	1632
288	663	1631
289	665	1630
290	667	1627
291	670	1625
292	673	1624
293	676	1623
294	678	1621
295	680	1619
296	683	1618
297	685	1615
298	687	1612
299	690	1611
300	693	1609
301	695	1608
302	697	1605
303	700	1603
304	702	1600
305	704	1598
306	706	1595
307	710	1596
308	713	1595
309	716	1594
310	719	1593
311	721	1591
312	724	1589
313	726	1587
314	728	1584
315	730	1581
316	734	1581
317	736	1578
318	739	1577
319	741	1576
320	744	1575
321	747	1574
322	751	1574
323	753	1571
324	754	1568
325	756	1564
326	758	1561
327	761	1559
328	763	1557
329	766	1555
330	768	1552
331	770	1551
332	773	1549
333	775	1546
334	777	1544
335	780	1541
336	782	1539
337	785	1537
338	787	1534
339	789	1533
340	792	1532
341	794	1529
342	796	1526
343	799	1524
344	802	1522
345	804	1520
346	806	1518
347	809	1516
348	811	1513
349	812	1509
350	814	1506
351	816	1502
352	817	1498
353	819	1495
354	821	1491
355	822	1488
356	824	1484
357	825	1480
358	827	1477
359	828	1473
360	830	1469
361	831	1466
362	833	1462
363	835	1459
364	836	1456
365	838	1452
366	840	1449
367	842	1446
368	843	1442
369	845	1439
370	847	1436
371	848	1432
372	850	1429
373	851	1425
374	853	1422
375	855	1419
376	856	1415
377	858	1412
378	859	1408
379	861	1404
380	862	1401
381	864	1397
382	865	1394
383	867	1391
384	868	1387
385	870	1384
386	872	1381
387	874	1379
388	875	1375
389	877	1372
390	878	1368
391	880	1365
392	881	1361
393	883	1358
394	884	1355
395	886	1352
396	888	1349
397	890	1346
398	891	1342
399	893	1339
400	894	1336
401	896	1333
402	897	1330
403	900	1327
404	902	1325
405	904	1323
406	907	1321
407	910	1320
408	912	1318
409	915	1317
410	918	1315
411	920	1313
412	923	1311
413	926	1311
414	927	1308
415	929	1305
416	932	1303
417	934	1300
418	935	1297
419	937	1294
420	939	1291
421	940	1288
422	942	1285
423	944	1282
424	945	1279
425	947	1276
426	948	1273
427	950	1270
428	951	1266
429	953	1264
430	955	1261
431	956	1258
432	958	1255
433	959	1251
434	961	1248
435	963	1246
436	965	1244
437	967	1241
438	969	1238
439	970	1235
440	972	1232
441	973	1229
442	975	1225
443	976	1222
444	978	1219
445	979	1216
446	981	1213
447	982	1210
448	984	1207
449	986	1205
450	987	1202
451	990	1200
452	992	1198
453	993	1195
454	996	1193
455	998	1191
456	1000	1188
457	1001	1185
458	1004	1184
459	1007	1182
460	1008	1179
461	1011	1177
462	1012	1174
463	1014	1171
464	1015	1168
465	1017	1165
466	1019	1163
467	1021	1160
468	1022	1158
469	1024	1155
470	1026	1152
471	1028	1150
472	1029	1147
473	1031	1144
474	1033	1141
