iter	MAPE	RMSE
0	0.9137447585	165578.7069
1	0.8314326126	152446.9861
2	0.7585664397	141412.052
3	0.6886297058	130305.5843
4	0.6273770576	120107.0848
5	0.5703480001	110788.9883
6	0.5215987134	102368.0129
7	0.4753649813	94873.41681
8	0.4319486087	87620.80541
9	0.3937657888	81368.4267
10	0.3587798959	75607.07484
11	0.3272484317	70243.49999
12	0.304191814	65893.66212
13	0.2807750611	61430.14258
14	0.2582516944	57388.13833
15	0.2397618949	53665.80724
16	0.2230661521	50311.2838
17	0.2081956081	47218.62487
18	0.1952672761	44695.79875
19	0.1835701749	42367.27324
20	0.1723786201	40040.92462
21	0.16221644	38086.38026
22	0.1540482922	36172.63987
23	0.1464659829	34430.55234
24	0.1402437709	33001.49716
25	0.1339416911	31515.55344
26	0.128782493	30250.96056
27	0.1239702476	29057.2715
28	0.1205630863	28181.16878
29	0.1174605523	27296.86973
30	0.1143698775	26507.15757
31	0.1118351529	25779.82039
32	0.1089445758	25104.41212
33	0.1073645156	24606.63396
34	0.1052230148	24067.49095
35	0.103493993	23567.66736
36	0.1022418394	23076.41373
37	0.1005941018	22598.19909
38	0.09934087059	22230.83814
39	0.09805454649	21845.54365
40	0.09669824063	21517.30934
41	0.09551500617	21165.72576
42	0.09467129238	20904.65742
43	0.09336452956	20557.32964
44	0.09209291755	20284.84896
45	0.09111936577	19984.3062
46	0.0899729727	19707.60009
47	0.08890011209	19446.36924
48	0.08817931815	19259.27075
49	0.08745945049	19074.84613
50	0.08684745155	18937.97832
51	0.08575996352	18686.42108
52	0.08502791972	18493.58146
53	0.08447888706	18323.36349
54	0.08425723115	18219.33572
55	0.08373501318	18071.86855
56	0.08334512622	17935.31155
57	0.08264643547	17763.6142
58	0.08170237557	17585.99008
59	0.08109731969	17456.90632
60	0.08058364142	17336.30892
61	0.08015788598	17223.04201
62	0.07956118957	17074.3739
63	0.07911414333	16936.96942
64	0.07855460966	16818.10203
65	0.07820321706	16725.76095
66	0.07744042487	16552.06075
67	0.07715421702	16465.57467
68	0.07667053099	16356.08231
69	0.0763044489	16279.22923
70	0.07590282091	16185.8991
71	0.07562180056	16098.67909
72	0.07524068532	15988.38825
73	0.07489517173	15899.22329
74	0.07458684514	15816.84215
75	0.07413862203	15706.15245
76	0.07384812812	15617.94063
77	0.0736358667	15546.35799
78	0.07325652718	15455.82394
79	0.07300826084	15370.29074
80	0.07270410642	15298.02653
81	0.0724234877	15218.74961
82	0.07216050762	15136.52159
83	0.07190117216	15090.84959
84	0.07127108718	14970.87966
85	0.07109591223	14914.77189
86	0.070747222	14841.6459
87	0.07063299703	14789.05011
88	0.07015711632	14687.14366
89	0.06968900987	14569.98928
90	0.0693960584	14514.5001
91	0.06929529573	14455.63794
92	0.06902246001	14358.29248
93	0.06853126708	14275.99523
94	0.06842869437	14232.70721
95	0.06793920645	14116.51282
96	0.06737929581	13977.44041
97	0.06692805905	13881.3423
98	0.06682031236	13843.39241
99	0.06675985067	13810.28986
100	0.06624986449	13716.38394
101	0.06579015784	13621.81909
102	0.065638498	13572.28004
103	0.06557616139	13545.06618
104	0.06501845092	13419.37947
105	0.0646685288	13332.26826
