iter	MAPE	RMSE
0	0.9122913949	165472.0367
1	0.8322774265	152772.4272
2	0.7589401991	141192.4849
3	0.688159235	130136.868
4	0.628035741	120334.6348
5	0.5706010436	111519.2052
6	0.5177606474	102843.2229
7	0.4700738269	95174.00817
8	0.4275737526	88334.57445
9	0.3899164289	81847.24669
10	0.3568879354	75885.92762
11	0.3275514374	70184.46887
12	0.3004136761	65203.78412
13	0.2778174579	60882.31999
14	0.2577738021	56881.283
15	0.2389598782	53054.86388
16	0.2233475522	49765.73446
17	0.2093555569	46786.38324
18	0.1964009148	44127.95806
19	0.1849854054	41564.30656
20	0.1740573847	39330.21017
21	0.1644711246	37289.57127
22	0.1551299333	35284.24268
23	0.1470637073	33660.86363
24	0.1407364679	32246.60253
25	0.1344703841	30787.87488
26	0.129652069	29592.58331
27	0.1254318873	28491.39172
28	0.1215249876	27571.95716
29	0.118288895	26673.08209
30	0.1153122092	25895.15813
31	0.1128237235	25216.44545
32	0.1111617826	24644.06768
33	0.1087674854	24100.36445
34	0.1069229888	23598.56648
35	0.1054940086	23130.09154
36	0.1043692593	22764.98247
37	0.1028240097	22325.4366
38	0.1013680538	21915.64645
39	0.09998401026	21521.73123
40	0.09894222079	21196.89562
41	0.09772740782	20857.93633
42	0.09691144978	20559.27812
43	0.09575207975	20220.9627
44	0.09450803008	19982.31383
45	0.09414073304	19793.73825
46	0.0929266806	19590.80795
47	0.09226375965	19403.40385
48	0.09111844898	19135.71289
49	0.09043334287	18941.75193
50	0.08956734519	18766.29003
51	0.08881018846	18565.6802
52	0.08831260805	18384.56822
53	0.08741700354	18193.36434
54	0.08666895385	18019.33259
55	0.08573461781	17825.348
56	0.08517892546	17690.46375
57	0.08464933999	17523.30566
58	0.08397359006	17404.31109
59	0.08345327118	17254.95351
60	0.08258144573	17115.73383
61	0.08166288109	16964.89667
62	0.08111993948	16772.31841
63	0.08054199538	16614.44482
64	0.08025882471	16498.34374
65	0.07997860429	16412.71188
66	0.07935902864	16292.98008
67	0.078718086	16146.89498
68	0.07822822793	16039.04373
69	0.07775761701	15930.95671
70	0.07747498375	15836.06519
71	0.07707220408	15732.8674
72	0.07663648414	15640.18252
73	0.07649245137	15572.01592
74	0.07624720427	15482.41487
75	0.07577411086	15368.93054
76	0.07552921496	15290.19422
77	0.0752284237	15176.71219
78	0.07478656678	15072.40275
79	0.0741601976	14953.75887
80	0.07377889928	14861.15183
81	0.07314977969	14722.79848
82	0.07240500268	14596.40745
83	0.07202994633	14509.25034
84	0.0718856113	14461.63555
85	0.07137257427	14359.33274
86	0.07085624223	14280.22741
87	0.07077391982	14239.02977
88	0.07052614108	14160.68957
89	0.07023559608	14082.4144
90	0.06973018251	13970.77604
91	0.06955482452	13917.0723
92	0.06920892997	13836.19505
93	0.06875461823	13711.16646
94	0.06829540652	13635.6272
95	0.06820960346	13602.25588
96	0.06803606513	13542.56462
97	0.06764720404	13469.16973
98	0.06744273398	13395.93377
99	0.06691819902	13268.26395
100	0.06682598152	13233.00309
101	0.06646726006	13153.43133
102	0.06637055614	13119.26269
103	0.0661982291	13061.13603
104	0.06598765551	13011.75637
105	0.06567588952	12936.25192
106	0.06542424832	12881.52619
107	0.06505041785	12796.57785
108	0.06494310389	12757.59405
109	0.06461409115	12693.43278
110	0.06404372505	12583.80762
111	0.06345125766	12456.65225
112	0.06338695265	12434.44668
113	0.06297849961	12337.18495
114	0.06287277009	12295.21958
115	0.06273305745	12249.84278
116	0.06235256494	12174.59663
117	0.06178497873	12080.14417
118	0.06135609312	11988.66828
119	0.06096847386	11924.18555
120	0.06057696567	11842.32931
121	0.06036098208	11793.72361
122	0.05997377201	11727.42281
123	0.0597489432	11670.19145
124	0.05946126144	11602.41127
125	0.05937518193	11563.58663
126	0.05930530778	11540.37882
127	0.05896061124	11458.73526
128	0.0586403338	11392.77712
129	0.05853627772	11362.02949
130	0.05819622316	11294.42753
131	0.05816402166	11283.05334
132	0.05787624259	11228.38331
133	0.05760681511	11174.5434
134	0.05733017452	11108.68456
135	0.05705841052	11044.84431
136	0.05688176306	11006.30651
137	0.05655054507	10924.47557
138	0.05622783452	10879.45507
139	0.05618724915	10864.01064
140	0.05600519347	10811.4853
141	0.05554261958	10751.67232
142	0.05550234823	10734.68337
143	0.05534311773	10683.90136
144	0.05508745386	10632.5819
145	0.05488142343	10583.90015
146	0.05449297493	10529.47484
147	0.05438017049	10502.07349
148	0.0540332094	10442.40632
149	0.05366490337	10355.69982
150	0.05327559713	10292.71656
151	0.05303998671	10242.53101
152	0.05279428204	10184.20586
153	0.05249661153	10116.34354
154	0.0523230514	10064.76288
155	0.05206948871	10012.95173
156	0.05177448925	9966.669437
157	0.05160441431	9926.56832
158	0.05145960556	9897.861538
159	0.0513592881	9872.360272
160	0.05131761482	9856.752238
161	0.05109454371	9808.589871
162	0.05061927699	9726.347626
163	0.05029645051	9654.875314
164	0.04992052813	9588.041245
165	0.04957582335	9525.948101
166	0.04931356318	9470.298745
167	0.04916299248	9436.997069
168	0.04893176963	9396.850349
169	0.04866378117	9348.611261
170	0.04857101487	9316.172632
171	0.04853201304	9302.064365
172	0.04836498089	9271.129142
173	0.04812423255	9230.582993
174	0.04782295067	9164.208048
175	0.04750162902	9112.092509
176	0.04744391752	9100.442643
177	0.04715317957	9051.902493
178	0.0469534973	9018.914358
179	0.04680600622	8983.994791
180	0.04661708678	8940.541363
181	0.04639827413	8896.827791
182	0.0462985242	8876.200392
183	0.0461090961	8841.034031
184	0.04592423457	8805.138651
185	0.0456966154	8771.287806
186	0.04545274237	8717.299434
187	0.04539455647	8709.827181
188	0.04519523403	8660.920912
189	0.04496296182	8627.385398
190	0.04476752784	8601.831505
191	0.0445486296	8552.802045
192	0.04445641656	8536.035606
193	0.04442580133	8526.368111
194	0.04426061149	8486.115022
195	0.04406090127	8459.471938
196	0.04388764304	8424.672649
197	0.04375424019	8395.369498
198	0.04365813223	8372.376444
