iter	Passed	Remaining
0	2	2703
1	5	2663
2	6	2276
3	8	2096
4	10	2049
5	11	1979
6	13	1938
7	15	1900
8	16	1861
9	18	1825
10	19	1792
11	21	1767
12	23	1765
13	24	1741
14	26	1729
15	27	1720
16	29	1705
17	30	1690
18	32	1678
19	34	1667
20	35	1669
21	37	1666
22	39	1662
23	41	1687
24	43	1683
25	44	1683
26	45	1638
27	46	1630
28	48	1627
29	50	1622
30	51	1622
31	54	1634
32	55	1629
33	57	1626
34	58	1623
35	60	1620
36	62	1617
37	63	1614
38	65	1608
39	67	1619
40	69	1617
41	71	1624
42	72	1618
43	74	1610
44	75	1605
45	78	1620
46	81	1643
47	84	1670
48	86	1671
49	87	1665
50	89	1662
51	91	1664
52	93	1664
53	95	1672
54	98	1686
55	100	1699
56	102	1699
57	104	1691
58	105	1686
59	107	1681
60	108	1676
61	110	1670
62	112	1669
63	113	1663
64	116	1670
65	117	1664
66	119	1659
67	120	1656
68	122	1652
69	124	1647
70	125	1643
71	127	1638
72	128	1635
73	130	1632
74	132	1630
75	133	1625
76	135	1623
77	136	1618
78	138	1614
79	140	1611
80	141	1606
81	143	1605
82	144	1601
83	146	1596
84	148	1594
85	149	1590
86	151	1588
87	152	1585
88	154	1581
89	155	1577
90	157	1575
91	159	1572
92	160	1568
93	162	1566
94	164	1563
95	165	1559
96	167	1557
97	168	1554
98	170	1551
99	171	1547
100	173	1545
101	175	1544
102	177	1541
103	178	1538
104	180	1536
105	181	1534
106	183	1531
107	185	1529
108	187	1529
109	188	1526
110	191	1530
111	192	1528
112	194	1524
113	195	1521
114	197	1519
115	199	1516
116	200	1515
117	202	1513
118	204	1511
119	206	1512
120	208	1512
121	209	1509
122	211	1505
123	212	1502
124	214	1500
125	216	1498
126	217	1495
127	219	1491
128	220	1489
129	222	1487
130	224	1486
131	225	1483
132	227	1480
133	228	1477
134	230	1476
135	232	1474
136	234	1474
137	235	1471
138	237	1468
139	238	1466
140	240	1464
141	242	1462
142	243	1459
143	245	1456
144	246	1454
145	248	1451
146	250	1453
147	251	1450
148	253	1448
149	255	1446
150	257	1446
151	258	1443
152	260	1439
153	261	1437
154	263	1435
155	264	1433
156	266	1432
157	268	1430
158	270	1428
159	271	1425
160	273	1423
161	274	1421
162	276	1418
163	277	1416
164	279	1414
165	281	1412
166	282	1411
167	284	1409
168	287	1412
169	289	1413
170	293	1421
171	295	1422
172	298	1425
173	300	1427
174	302	1427
175	305	1431
176	309	1437
177	312	1442
178	315	1446
179	318	1449
180	320	1450
181	323	1455
182	327	1460
