iter	Passed	Remaining
0	5	5058
1	7	3879
2	9	3269
3	12	3045
4	14	2960
5	17	2859
6	18	2652
7	20	2508
8	22	2440
9	23	2366
10	25	2329
11	27	2252
12	28	2199
13	30	2161
14	32	2116
15	33	2083
16	35	2049
17	36	2013
18	38	2005
19	40	1976
20	41	1957
21	44	1977
22	46	1973
23	48	1960
24	49	1943
25	51	1929
26	53	1924
27	55	1911
28	56	1899
29	58	1881
30	59	1864
31	61	1847
32	62	1835
33	64	1825
34	65	1815
35	67	1806
36	69	1799
37	70	1791
38	72	1782
39	73	1775
40	75	1765
41	76	1755
42	79	1758
43	81	1780
44	83	1782
45	85	1775
46	87	1765
47	88	1762
48	90	1758
49	92	1753
50	93	1747
51	95	1742
52	96	1733
53	98	1725
54	100	1718
55	101	1713
56	103	1707
57	104	1701
58	106	1693
59	107	1691
60	109	1687
61	111	1683
62	112	1677
63	114	1674
64	116	1670
65	117	1666
66	119	1660
67	120	1654
68	122	1649
69	123	1645
70	125	1642
71	127	1636
72	128	1631
73	130	1627
74	131	1624
75	133	1619
76	134	1616
77	136	1613
78	138	1610
79	139	1608
80	142	1611
81	143	1606
82	145	1602
83	146	1602
84	148	1600
85	150	1597
86	151	1593
87	153	1588
88	154	1584
89	156	1582
90	158	1579
91	160	1580
92	161	1577
93	163	1574
94	164	1570
95	166	1567
96	168	1564
97	170	1566
98	172	1568
99	176	1584
100	178	1591
101	180	1589
102	182	1587
103	184	1591
104	187	1598
105	191	1611
106	193	1617
107	196	1621
108	197	1617
109	199	1614
110	201	1613
111	203	1610
112	204	1606
113	206	1603
114	207	1600
115	209	1595
116	210	1591
117	212	1588
118	214	1585
119	215	1581
120	217	1577
121	218	1573
122	220	1570
123	221	1567
124	223	1563
125	225	1560
126	226	1558
127	228	1555
128	229	1551
129	231	1550
130	233	1548
131	234	1544
132	236	1540
133	237	1538
134	239	1535
135	241	1533
136	243	1530
137	244	1527
138	246	1524
139	247	1520
140	249	1519
141	250	1516
142	252	1513
143	254	1510
144	255	1507
145	257	1504
146	259	1503
147	260	1500
148	262	1498
149	264	1496
150	265	1493
151	267	1490
152	268	1488
153	270	1486
154	272	1483
155	273	1481
156	275	1480
157	277	1479
158	279	1476
159	280	1473
160	282	1471
161	283	1468
162	285	1466
163	287	1464
164	289	1463
165	290	1461
166	292	1459
167	294	1457
168	296	1455
169	298	1456
170	299	1453
171	301	1453
172	304	1453
173	307	1460
174	310	1461
175	311	1459
176	313	1457
177	315	1455
178	316	1453
179	318	1451
180	320	1448
181	321	1446
182	323	1443
183	325	1441
184	326	1438
185	328	1436
186	329	1434
187	332	1433
188	333	1431
189	335	1428
190	336	1426
191	338	1425
192	340	1422
193	341	1420
194	343	1417
195	345	1415
196	346	1413
197	348	1411
198	350	1409
199	351	1406
200	353	1404
201	354	1401
202	356	1399
203	358	1397
204	359	1395
205	361	1392
206	362	1389
207	364	1386
208	365	1384
209	367	1382
210	368	1379
211	370	1377
212	372	1375
213	373	1373
214	375	1371
215	377	1371
216	379	1368
217	380	1366
218	382	1364
219	384	1361
220	385	1359
221	387	1356
222	388	1354
223	390	1351
224	391	1349
225	393	1346
226	394	1344
227	396	1341
228	397	1338
229	399	1336
230	400	1334
231	402	1331
232	403	1329
233	405	1327
234	407	1325
235	408	1322
236	410	1320
237	412	1319
238	413	1317
239	415	1314
240	416	1312
241	418	1310
242	420	1308
243	421	1306
244	423	1304
245	424	1301
246	426	1299
247	427	1296
248	429	1294
249	430	1292
250	432	1289
251	433	1287
252	435	1285
253	437	1283
254	438	1281
255	440	1279
256	442	1277
257	443	1275
258	445	1273
259	446	1272
260	448	1270
261	450	1268
262	451	1265
263	453	1263
264	455	1262
265	456	1259
266	458	1257
267	459	1255
268	461	1253
269	462	1251
270	464	1249
271	466	1247
272	467	1246
273	469	1244
274	471	1241
275	472	1239
276	474	1237
277	475	1236
278	478	1235
279	479	1233
280	481	1231
281	483	1230
282	484	1228
283	486	1226
284	487	1223
285	490	1223
286	491	1221
287	493	1219
288	494	1217
289	496	1214
290	497	1212
291	499	1210
292	500	1208
293	502	1206
294	503	1204
295	505	1202
296	507	1201
297	509	1199
298	510	1197
299	512	1195
300	513	1192
301	515	1190
302	516	1188
303	518	1186
304	519	1184
305	521	1182
306	523	1180
