iter	MAPE	RMSE
0	0.9136528118	164948.4008
1	0.8269049964	152031.0911
2	0.7546200595	139941.0482
3	0.6891289504	129036.7586
4	0.6270602051	119077.3369
5	0.5693308855	109688.8938
6	0.5147820718	101702.3393
7	0.4697716917	94059.72251
8	0.4294654424	87559.73548
9	0.3928054209	81498.32985
10	0.3586780364	75712.32711
11	0.3282497788	70789.22625
12	0.3014174555	66037.99227
13	0.2787211275	61731.14689
14	0.2589595064	57837.48585
15	0.2397926328	54041.72184
16	0.2245777522	50931.37425
17	0.2094789703	47902.46389
18	0.195748459	45164.94256
19	0.1835288206	42713.89758
20	0.1722258877	40272.97079
21	0.1624648542	38167.02503
22	0.1543534932	36272.93412
23	0.1473464732	34641.71881
24	0.1403793201	33049.1519
25	0.1349547194	31674.54081
26	0.1294986253	30375.53208
27	0.1255732709	29322.52315
28	0.1215843144	28294.82534
29	0.1183876851	27382.71315
30	0.1151094142	26517.46136
31	0.1129222956	25843.63068
32	0.1105994098	25249.31719
33	0.1085352139	24752.65154
34	0.1064604155	24127.82885
35	0.1046388564	23625.59706
36	0.103490755	23227.37848
37	0.1017842926	22799.89013
38	0.1004912795	22370.96407
39	0.0992858428	21977.29166
40	0.09790200862	21640.06586
41	0.09700794864	21302.51854
42	0.09543893617	20952.88168
43	0.09457633929	20623.37441
44	0.09359110024	20383.29078
45	0.09224389737	20108.57952
46	0.09141870935	19861.42514
47	0.09081829941	19667.93016
48	0.08979084069	19436.92711
49	0.08942462846	19283.6665
50	0.08895296866	19099.34339
51	0.08860087218	18953.33982
52	0.08810116699	18797.46121
53	0.08731681038	18602.76384
54	0.08667318836	18414.52333
55	0.08641282369	18319.34399
56	0.0855430202	18118.7511
57	0.08496886904	17987.88615
58	0.08434149266	17872.44804
59	0.08383749984	17727.59274
60	0.08337312089	17606.38325
61	0.08282529444	17473.062
62	0.08238283686	17345.54793
63	0.08193073616	17243.59876
64	0.08141301626	17125.98466
65	0.08118304219	17042.64323
66	0.08045777057	16907.12339
67	0.07999656061	16775.98397
68	0.0797157958	16666.13269
69	0.07932885202	16546.66505
70	0.07871220702	16424.03069
71	0.07791171826	16301.8007
72	0.0775386759	16199.7734
73	0.07712892545	16077.29567
74	0.0767315921	15993.10732
75	0.07621253123	15888.4353
76	0.07568100269	15810.90938
77	0.07549471775	15754.32278
78	0.07516383983	15663.23004
79	0.07489177012	15590.6588
80	0.07450730493	15502.10689
81	0.07436613828	15444.75125
82	0.07431296531	15411.3411
83	0.0737427556	15304.9398
84	0.07309149779	15181.24922
85	0.07280067168	15101.99858
86	0.07213601195	14968.67929
87	0.07168375545	14886.05708
88	0.07127367695	14798.96061
89	0.07093152109	14680.3699
90	0.07029802322	14573.64103
91	0.06985478157	14448.36794
92	0.06953057598	14358.76195
93	0.06899711003	14271.77709
94	0.06871956185	14197.45472
95	0.06841529422	14122.61131
96	0.06806942573	14046.451
97	0.06766911871	13982.41994
98	0.06725605574	13904.29039
99	0.06678334935	13804.11996
100	0.06626097104	13696.94027
101	0.06594226339	13634.672
102	0.06579541329	13587.48804
103	0.06558308456	13519.74578
104	0.06526747176	13436.49961
105	0.0649494489	13360.76483
106	0.06455647776	13277.7716
107	0.06439152901	13220.99534
108	0.06397828322	13156.72304
109	0.06366384814	13055.4952
110	0.06325935169	12972.79277
111	0.06281985708	12866.9626
112	0.06233280784	12771.15014
113	0.06193233343	12690.54746
114	0.06173188952	12635.66797
115	0.06139362597	12569.00274
116	0.06089867105	12493.71616
117	0.06053611782	12419.35737
118	0.0601894274	12348.94039
119	0.05982011573	12274.58037
120	0.05957851144	12208.76714
121	0.05924642547	12134.55729
122	0.05899782606	12071.58773
123	0.05896457125	12049.58326
124	0.05842202679	11935.3519
125	0.05794591879	11829.64029
126	0.05771619042	11774.79792
127	0.05756993404	11741.74647
128	0.05746603723	11705.44614
129	0.05728894145	11656.27917
130	0.05695788677	11576.56133
131	0.0569097569	11557.21393
132	0.05649779548	11458.68405
133	0.05621006582	11407.62515
134	0.05602762163	11371.20931
135	0.05585220781	11331.093
136	0.05561657055	11280.35841
137	0.05541210126	11223.72683
138	0.05537842792	11206.11778
139	0.05534557755	11187.31089
140	0.05514107005	11125.40954
141	0.05480710159	11058.49395
142	0.05470407188	11032.99539
143	0.0545098006	10982.908
144	0.05424701784	10926.09658
145	0.05406260327	10884.57295
146	0.05392797145	10847.25939
147	0.05363015654	10785.29278
148	0.05326839451	10732.0283
149	0.05306805249	10686.21579
150	0.05299979718	10660.46822
151	0.05293751794	10637.74578
152	0.05275190635	10602.63594
153	0.05244808434	10551.17306
154	0.05221984599	10490.19792
155	0.05219128504	10475.87179
156	0.05187982273	10393.74664
157	0.05169257174	10348.15704
158	0.05151166919	10305.96889
159	0.0514145911	10268.03733
160	0.05107370411	10203.4344
161	0.05085115241	10165.49694
162	0.05060782012	10118.15057
163	0.05041595211	10078.97689
164	0.05017426191	10016.03874
165	0.04995444992	9961.717827
166	0.04992885883	9947.497996
167	0.04982250364	9926.568005
168	0.04949157677	9868.573996
169	0.04936076109	9838.483472
170	0.04921694042	9804.846504
171	0.04892939214	9751.450062
172	0.04867959322	9692.675236
173	0.04845524105	9645.686925
174	0.04829464345	9608.355679
175	0.04821371996	9581.272103
176	0.04797555498	9523.657104
177	0.04776080974	9482.939991
178	0.04753876574	9447.827611
179	0.04736691101	9416.14986
180	0.04714547654	9373.829906
181	0.04699667606	9341.552006
182	0.04674144867	9286.307854
183	0.04659045921	9253.66833
184	0.04643203185	9219.030457
185	0.04638803194	9204.553948
186	0.04632287969	9182.630321
187	0.04607369623	9151.892613
188	0.04592279161	9118.163858
189	0.04571180986	9079.71214
190	0.04553539486	9049.40307
191	0.04552814946	9042.902991
192	0.04550453882	9030.380933
193	0.04531273068	8986.047383
194	0.04522932214	8962.972761
195	0.04516590207	8944.699813
196	0.04501696646	8917.041481
197	0.04488429321	8889.082241
198	0.04465052295	8840.408503
199	0.04462219614	8836.145979
200	0.04432468778	8779.155399
201	0.04430562965	8768.832015
202	0.04421607466	8750.117547
203	0.04408718439	8727.765419
204	0.04399301148	8695.965124
205	0.04386081353	8667.764005
206	0.043643014	8624.998499
207	0.04341721112	8573.729809
208	0.04318315011	8518.116025
209	0.04301594831	8484.828692
210	0.04279583795	8446.370421
211	0.04272766432	8430.463949
212	0.04260177763	8394.327182
213	0.04234033644	8345.184791
214	0.04205307146	8289.793236
215	0.04178247969	8244.65499
216	0.04159190963	8196.908118
217	0.04147626524	8162.170528
218	0.04128004374	8115.008349
219	0.04099370564	8072.099756
220	0.04077960592	8032.261997
221	0.04066342053	8007.066403
222	0.04056187999	7986.504971
223	0.04039200221	7952.865902
224	0.04024145979	7927.222776
225	0.04014367564	7897.957435
226	0.03995692	7866.474335
227	0.03975857464	7832.292253
228	0.03968070778	7819.064758
229	0.03965795597	7815.298554
230	0.039467371	7786.195839
231	0.03942480727	7772.837467
232	0.03935346041	7751.661447
233	0.0392291007	7721.870815
234	0.03916088205	7700.356239
235	0.03898204631	7659.467571
236	0.03896138051	7656.106391
237	0.03881809997	7631.117387
238	0.03863265741	7592.052546
239	0.03853643118	7570.631808
240	0.03835578742	7545.722606
241	0.03820126433	7513.1379
242	0.03801589116	7467.171715
243	0.03777447827	7414.47525
244	0.03767655594	7391.03599
245	0.03765904982	7387.789616
246	0.03764182458	7384.761348
247	0.03756134251	7362.082316
248	0.03749897791	7342.01347
249	0.03739174213	7317.958782
250	0.03731657694	7298.689319
251	0.0372006894	7264.527133
252	0.0370050235	7214.732497
253	0.03681929368	7168.821231
254	0.0367216169	7145.824942
255	0.03658483922	7123.762393
256	0.0364519792	7093.897788
257	0.03620761746	7049.55724
258	0.03597259248	7001.857287
259	0.0357531207	6968.301503
260	0.03561164	6937.490034
261	0.03559209496	6930.67187
262	0.03540395391	6876.726087
263	0.03539318994	6874.207819
264	0.03527318767	6845.900701
265	0.03512098182	6818.797949
266	0.03496432762	6778.280332
267	0.03495353464	6775.864314
268	0.03477167466	6739.974183
269	0.03467636687	6716.190087
270	0.03460384806	6692.476493
271	0.0345963523	6689.174407
272	0.03454904014	6677.476407
273	0.03434459894	6640.627575
274	0.03425119511	6613.870595
275	0.03411224458	6590.070837
276	0.03399240269	6565.60865
277	0.03378362382	6536.405887
278	0.03367531165	6511.380206
279	0.03366658005	6509.338252
280	0.03357385151	6483.939503
281	0.03346958065	6461.911892
282	0.03333611881	6438.662407
283	0.033211815	6411.262667
284	0.03310442574	6381.872903
285	0.03290725525	6349.004572
286	0.03278236506	6322.800657
287	0.0326434191	6293.684587
288	0.03249247168	6269.717228
289	0.03243569538	6256.631479
290	0.03221614151	6217.363615
291	0.03220661732	6214.817721
292	0.03208722558	6192.446034
293	0.03198036993	6168.934937
294	0.03180481068	6132.857821
295	0.03167338203	6105.768471
296	0.03152428944	6070.017403
297	0.03134227106	6045.570315
298	0.03130645326	6035.538361
299	0.03124400662	6017.189829
300	0.03112397509	6001.698977
301	0.03090340988	5967.466189
302	0.0307665815	5941.228112
303	0.03061015124	5903.096226
304	0.03050583799	5886.214346
305	0.03028391889	5856.323238
306	0.03020794879	5836.377122
307	0.03013639618	5821.706348
308	0.03004272216	5808.126803
309	0.0299641588	5791.899233
310	0.02987600161	5774.617863
311	0.02980620736	5761.131668
312	0.02972417132	5738.216962
313	0.02955921282	5706.124137
314	0.0293784605	5678.900301
315	0.02929248481	5664.284931
316	0.02916649575	5641.910869
317	0.02910128503	5627.326429
318	0.02896737051	5603.50342
319	0.02890350758	5588.988171
320	0.02885417269	5578.548351
321	0.02873117921	5555.722853
322	0.02859510124	5541.852201
323	0.0285260973	5526.755732
324	0.02845253294	5514.283076
325	0.02835311536	5491.810698
326	0.02820081563	5465.183324
327	0.02813197019	5453.362823
328	0.02809024427	5443.370688
329	0.02799381359	5422.307059
330	0.02797283136	5413.884168
331	0.0278853452	5392.369627
332	0.02784578457	5379.365814
333	0.02783431591	5374.371903
334	0.02767683889	5343.122948
335	0.02759203596	5323.438476
336	0.0274571235	5291.969052
337	0.02743039557	5283.051234
338	0.02734721627	5265.130851
339	0.02718899611	5240.703643
340	0.0270709265	5225.894713
341	0.02696954183	5200.487526
342	0.0268736955	5182.553881
343	0.02671787301	5163.380062
344	0.02661016137	5145.380543
