iter	MAPE	RMSE
0	0.912012771	164997.9148
1	0.828379833	152008.3601
2	0.7518087422	139557.47
3	0.6838009329	128785.7927
4	0.6225826105	119103.6158
5	0.5650748969	109980.0499
6	0.5152288771	101780.7485
7	0.4686497082	94130.30972
8	0.4259224951	87182.97908
9	0.389106507	80948.45916
10	0.3558858532	75077.31823
11	0.3254580672	69756.13123
12	0.2982468715	64914.49892
13	0.274329321	60628.8312
14	0.2541044101	56838.97075
15	0.2348396884	53147.58122
16	0.2183170435	49915.44487
17	0.2029256476	46861.34828
18	0.1897276616	44171.21649
19	0.1774838925	41618.59291
20	0.1668322644	39371.86722
21	0.1571634246	37350.65508
22	0.1497766124	35530.37506
23	0.1433517633	33914.09337
24	0.1371254934	32510.99783
25	0.1320621444	31188.25218
26	0.1271006505	29830.01609
27	0.122254061	28688.68886
28	0.1181530872	27732.91027
29	0.1142062266	26824.91226
30	0.1112055228	26064.78037
31	0.1090994609	25465.64497
32	0.1073258995	24851.80919
33	0.1052208069	24398.78927
34	0.1034657515	23850.05145
35	0.1014695586	23218.63987
36	0.100353973	22757.89861
37	0.09899719028	22306.75272
38	0.09769934156	21937.69971
39	0.09653446629	21600.33398
40	0.09529197791	21296.36661
41	0.09438584864	20902.10419
42	0.09341656865	20617.70757
43	0.09233451507	20310.14111
44	0.09172296375	20042.41307
45	0.09049980257	19716.20694
46	0.08961879118	19471.47857
47	0.08896125946	19259.41021
48	0.08826227358	19012.33098
49	0.08763484541	18818.82253
50	0.08699269237	18668.65557
51	0.08636084561	18479.69694
52	0.08569321914	18288.39171
53	0.08498860634	18057.76763
54	0.08450777726	17869.70277
55	0.0839200473	17757.7333
56	0.08334021495	17577.58525
57	0.08261239095	17417.87525
58	0.08205542023	17275.84403
59	0.08130795132	17072.08675
60	0.08064156954	16911.50075
61	0.07993537549	16752.82386
62	0.07954129442	16641.15851
63	0.07927321899	16545.01477
64	0.07864638671	16398.82982
65	0.07828047285	16306.2094
66	0.07794493278	16207.31255
67	0.07761146781	16134.43521
68	0.07728757	16020.62122
69	0.07679035412	15909.03589
70	0.07644402112	15799.22896
71	0.07616473045	15676.27933
72	0.07570810752	15580.29407
73	0.07537659564	15476.58778
74	0.07500669614	15366.55837
75	0.07459993287	15280.05664
76	0.07426395289	15203.01751
77	0.07371598516	15065.89018
78	0.07348344013	14996.56091
79	0.07313430405	14906.32166
80	0.07280940859	14816.17562
81	0.07212515586	14703.6328
82	0.07185192425	14637.69816
83	0.07144227395	14543.32597
84	0.07114477216	14470.73822
85	0.07079958659	14399.63075
86	0.07036937486	14282.03013
87	0.07019575849	14240.34942
88	0.06966269064	14133.98498
89	0.0693122775	14040.61388
90	0.06898184604	13951.86793
91	0.06891256073	13923.79107
92	0.06864514627	13863.67326
93	0.06824954408	13769.80778
94	0.06787004052	13683.18512
95	0.06763340575	13625.86777
96	0.06727574528	13554.50944
97	0.06678623722	13461.66151
98	0.06633192079	13376.40383
99	0.06581003701	13270.85975
100	0.06534521864	13162.78946
101	0.06514940836	13123.30432
102	0.06485709364	13069.70861
103	0.0646830407	13025.26297
104	0.06449131597	12984.75153
105	0.06418337519	12929.11624
106	0.0641185281	12910.16446
107	0.06368203854	12828.34261
108	0.06338454774	12765.40522
109	0.06303224134	12710.88693
110	0.06273199481	12640.09996
111	0.06232888272	12539.58629
112	0.06211669653	12478.30507
113	0.06180755193	12399.76686
114	0.06153506593	12346.34514
115	0.06131170943	12282.44351
116	0.06117376837	12255.38774
117	0.06080484174	12175.27685
118	0.06048432698	12101.9985
119	0.06024548973	12047.78426
120	0.05998511105	11984.25856
121	0.05972495108	11914.67789
122	0.05952935692	11871.51113
123	0.05946468429	11855.71975
124	0.05922597036	11789.68723
125	0.05902955613	11747.94098
126	0.05867721419	11669.62315
127	0.05849408468	11635.8684
128	0.05841635264	11620.28244
129	0.0581265758	11546.98604
130	0.05777385964	11476.0142
131	0.05745642833	11406.82266
132	0.05712249427	11331.14972
133	0.05701262061	11295.15093
134	0.05670212864	11235.08921
135	0.05641329696	11161.41135
136	0.05620216483	11114.13644
137	0.05594132245	11055.63968
138	0.05578742746	11024.46873
139	0.05540824919	10937.57466
140	0.05513156968	10882.85835
141	0.05480333443	10806.46452
142	0.0545907285	10748.80013
143	0.05417614393	10664.26152
144	0.05399929183	10635.57128
145	0.05371254298	10576.36279
146	0.05350087472	10529.96847
147	0.05329654401	10481.09585
148	0.05302526971	10417.25651
149	0.0527815129	10375.09251
150	0.05263529653	10351.12632
151	0.05251049476	10317.68619
152	0.05242700544	10305.29364
153	0.05226244849	10259.35431
